field0	field1	field2	field3	field4	field5	field6	field7
2	2258	0	0	0	0	0	
3	322	0	250	0	0	0	
12	2253	250	100	0	0	58	TemplateCustomEffect ( ... )
13	12994	1000	200	2	0	0	
14	5923	1000	750	1	0	57	TemplateCustomTurn(effects)
15	23956	250	250	0	0	0	
16	23956	250	250	0	0	0	
17	14861	250	250	0	0	0	
18	67	250	250	1	0	0	
19	8452	250	750	1	0	0	
20	173	250	750	0	0	0	
21	671	100	250	0	0	0	
22	268	300	500	1	0	0	
23	10755	250	250	1	0	0	
24	7774	100	250	1	0	0	
25	11032	0	0	0	0	0	
26	24615	0	0	0	0	0	
27	13529	0	0	2	0	0	
28	4101	0	0	0	0	0	
31	9953	0	0	0	0	0	
32	68	0	0	0	0	0	
33	13527	0	0	0	0	0	
36	20104	200	500	2	0	0	
37	1714	0	250	2	0	0	
38	9882	0	250	0	0	0	
39	107	250	250	2	0	0	
40	24925	0	250	2	0	0	
41	24926	0	250	2	0	0	
42	23331	0	250	1	0	0	
43	17720	0	250	1	0	0	
44	11538	0	0	2	0	0	
45	17805	0	0	2	0	0	
46	17	0	250	0	0	0	
47	32	200	500	2	0	0	
48	19151	0	0	0	0	0	
49	107	100	250	0	0	0	
50	322	150	250	0	0	0	
51	70	100	250	1	0	0	
52	24994	500	100	1	0	0	
53	20125	250	100	1	0	0	
54	24993	750	100	0	0	0	
55	3239	0	250	1	0	0	
56	18751	0	250	2	0	0	
58	25185	100	250	2	0	0	
59	24900	250	250	2	0	0	
60	25184	250	250	2	0	0	
61	21758	150	150	2	0	0	
62	11138	250	250	1	0	0	
63	8073	250	250	2	0	0	
64	3444	250	250	2	0	0	
65	11151	250	250	2	0	0	
66	25184	250	250	2	0	0	
67	0	100	100	2	0	0	
68	13264	100	100	2	0	0	
69	239	300	500	1	0	0	
70	21819	250	250	0	0	0	
71	2253	1000	500	1	0	0	
73	18832	250	750	1	0	0	
74	7906	250	250	1	0	0	
75	13	1000	100	1	0	0	
76	25346	0	500	2	0	0	
77	21609	300	500	1	0	0	
78	17805	0	0	2	0	0	
79	13633	0	0	0	0	0	
81	23956	250	250	0	0	159	Dispatcher_MultiAttack(...)
