field0	field1	field2	field3	field4
4	5	4	1	0
5	6	5	14	0
6	6	6	2	0
11	5	9	8	0
12	5	10	12	0
20	7	7	2	0
21	7	8	1	0
44	18	13	1	0
45	19	14	1	0
46	7	11	3	0
48	22	16	1	0
49	6	17	6	0
50	18	18	2	0
51	18	12	3	0
52	23	25	6	0
53	24	22	18	0
54	24	6	2	0
55	24	17	3	0
62	24	35	4	0
63	24	36	11	0
64	24	37	10	0
65	22	33	2	0
66	24	38	22	0
70	23	39	3	0
71	23	40	2	0
72	23	41	1	0
78	5	47	7	0
79	23	14	7	0
80	23	30	8	0
81	24	48	16	0
82	23	49	9	0
83	23	50	10	0
84	23	51	11	0
85	24	52	17	0
86	24	53	8	0
87	23	54	12	0
88	6	55	10	0
89	24	56	12	0
90	23	57	5	0
91	23	58	13	0
92	23	59	4	0
93	23	60	14	0
94	5	61	9	0
95	5	62	10	0
96	6	63	11	0
97	6	64	7	0
98	25	41	1	0
99	25	40	2	0
112	6	65	8	0
113	6	66	3	0
115	26	41	1	0
118	25	70	3	0
119	25	71	4	0
120	25	72	5	0
121	25	73	6	0
122	25	74	7	0
123	25	75	8	0
124	25	76	9	0
125	25	77	10	0
126	25	78	11	0
128	25	80	12	0
129	25	81	13	0
130	25	82	14	0
131	6	85	1	0
132	6	86	4	0
133	6	87	9	0
135	27	41	1	0
139	27	92	3	0
140	27	93	4	0
150	27	95	2	0
190	27	116	15	0
191	27	117	5	0
194	27	120	6	0
195	41	41	1	0
196	41	121	2	0
197	8	7	1	0
198	41	122	3	0
199	41	123	6	0
200	41	124	4	0
201	41	125	5	0
202	27	126	7	0
203	27	127	8	0
204	27	128	9	0
205	27	129	10	0
206	27	130	11	0
207	27	131	12	0
208	27	132	13	0
209	27	133	14	0
210	24	134	5	0
211	24	135	6	0
212	24	136	7	0
214	24	138	13	0
215	24	139	14	0
216	42	140	1	0
218	24	63	19	0
219	24	55	20	0
220	24	5	21	0
222	24	142	9	0
223	24	85	1	0
225	6	144	12	0
226	24	145	15	0
227	6	146	5	0
228	6	147	13	0
230	43	41	1	0
231	43	149	2	0
232	44	41	1	0
233	44	150	6	0
234	44	151	8	0
235	44	152	4	0
236	44	153	35	0
237	44	154	2	0
238	44	155	3	0
239	44	156	9	0
243	46	160	1	0
244	46	161	2	0
245	46	162	3	0
246	46	163	4	0
247	46	164	5	0
248	46	165	6	0
249	46	166	7	0
250	46	167	8	0
251	46	168	9	0
252	46	169	10	0
253	46	170	11	0
254	46	171	12	0
255	46	172	13	0
256	46	173	14	0
277	44	189	10	0
279	44	191	36	0
280	44	192	37	0
281	44	193	41	0
282	44	194	38	0
283	44	195	39	0
284	54	196	6	0
285	54	41	1	0
286	54	154	2	0
287	54	155	3	0
288	54	197	24	0
